id,subsystem,general,specific,relation_type,difficulty,notes
scheduler_001,scheduler,CPU scheduling,CFS scheduling class,mechanism,easy,
scheduler_002,scheduler,CFS scheduling,CFS bandwidth control,policy,easy,
scheduler_003,scheduler,CPU scheduling,real-time scheduling class,mechanism,easy,
scheduler_004,scheduler,CPU scheduling,deadline scheduling,mechanism,easy,
scheduler_005,scheduler,load balancing,scheduler domain load balancing,implementation,medium,
scheduler_006,scheduler,task placement,energy-aware scheduling,policy,medium,
scheduler_007,scheduler,energy-aware scheduling,schedutil frequency governor integration,implementation,hard,
scheduler_008,scheduler,scheduler latency,wakeup preemption,mechanism,medium,
scheduler_009,scheduler,wakeup behavior,wake_affine task placement,implementation,medium,
scheduler_010,scheduler,CPU affinity,sched_setaffinity system call,interface,easy,
scheduler_011,scheduler,NUMA scheduling,automatic NUMA balancing,mechanism,medium,
scheduler_012,scheduler,task migration,active load balancing,implementation,medium,
scheduler_013,scheduler,scheduler fairness,virtual runtime vruntime,mechanism,easy,
scheduler_014,scheduler,CFS fairness,red-black tree runqueue ordering,implementation,medium,
scheduler_015,scheduler,scheduler accounting,per-entity load tracking PELT,mechanism,medium,
scheduler_016,scheduler,load tracking,util_avg signal,implementation,medium,
scheduler_017,scheduler,CPU capacity awareness,capacity-aware load balancing,policy,medium,
scheduler_018,scheduler,asymmetric CPU topology,big.LITTLE energy-aware task placement,application,medium,
scheduler_019,scheduler,scheduler isolation,NOHZ full CPU isolation,policy,hard,
scheduler_020,scheduler,tick management,scheduler tick suppression,implementation,medium,
scheduler_021,scheduler,real-time scheduling,priority inheritance mutex boosting,mechanism,medium,
scheduler_022,scheduler,scheduling class hierarchy,fair scheduling class enqueue path,implementation,medium,
scheduler_023,scheduler,cgroup scheduling,cgroup CPU controller quota enforcement,policy,medium,
scheduler_024,scheduler,latency control,latency nice task attribute,interface,medium,
scheduler_025,scheduler,scheduler extensibility,sched_ext BPF scheduler class,mechanism,hard,post_2020
memory_001,memory,memory management,page reclaim,mechanism,easy,
memory_002,memory,page reclaim,multi-generational LRU,implementation,hard,post_2020
memory_003,memory,page reclaim,kswapd background reclaim,implementation,medium,
memory_004,memory,memory management,memory compaction,mechanism,medium,
memory_005,memory,memory compaction,CMA contiguous memory allocator,implementation,medium,
memory_006,memory,virtual memory,huge page support,mechanism,easy,
memory_007,memory,huge page support,transparent huge page collapse,implementation,medium,
memory_008,memory,NUMA memory,NUMA page migration,mechanism,medium,
memory_009,memory,NUMA page migration,automatic NUMA balancing scan,implementation,hard,
memory_010,memory,memory allocation,slab allocator,mechanism,easy,
memory_011,memory,slab allocator,SLUB per-CPU partial freelist,implementation,hard,
memory_012,memory,memory overcommit,OOM killer victim selection,policy,medium,
memory_013,memory,OOM killer,oom_score_adj process tuning,interface,medium,
memory_014,memory,page fault handling,copy-on-write fault,mechanism,easy,
memory_015,memory,copy-on-write,ksm kernel same-page merging,optimization,medium,
memory_016,memory,memory cgroups,memory.high soft limit throttling,policy,medium,
memory_017,memory,memory isolation,memory cgroup charge accounting,implementation,medium,
memory_018,memory,page cache,readahead prefetch,mechanism,easy,
memory_019,memory,readahead,VMA-based readahead window adjustment,implementation,hard,
memory_020,memory,swap management,swap prefetch readahead,optimization,medium,
memory_021,memory,memory ballooning,virtio balloon driver memory return,implementation,medium,
memory_022,memory,memory hotplug,memory block online/offline,mechanism,medium,
memory_023,memory,zero page,idle page tracking,observability,medium,
memory_024,memory,memory pressure,PSI memory stall tracking,observability,medium,post_2020
memory_025,memory,memory mapping,userfaultfd user-mode page fault handling,interface,hard,
networking_001,networking,network stack,socket buffer skb,mechanism,easy,
networking_002,networking,socket buffer,TCP receive queue autotuning,optimization,hard,
networking_003,networking,TCP congestion control,BBR congestion algorithm,implementation,medium,
networking_004,networking,TCP congestion control,CUBIC cubic window growth,implementation,medium,
networking_005,networking,network scheduling,fq packet scheduler,mechanism,medium,
networking_006,networking,traffic shaping,cake active queue management,implementation,hard,
networking_007,networking,packet processing,XDP eXpress Data Path,mechanism,medium,post_2020
networking_008,networking,XDP,AF_XDP zero-copy socket,implementation,hard,post_2020
networking_009,networking,netfilter,nftables rules evaluation,implementation,medium,
networking_010,networking,network namespaces,veth virtual ethernet pair,implementation,easy,
networking_011,networking,TCP offload,TCP segmentation offload TSO,optimization,medium,
networking_012,networking,receive scaling,RSS receive side scaling,mechanism,medium,
networking_013,networking,interrupt coalescing,NAPI polling,mechanism,easy,
networking_014,networking,network flow control,TCP window scaling,mechanism,easy,
networking_015,networking,socket options,SO_REUSEPORT load distribution,interface,medium,
networking_016,networking,network security,eBPF sockmap redirection,implementation,hard,post_2020
networking_017,networking,packet classification,TC flower classifier,implementation,medium,
networking_018,networking,network virtualization,VXLAN encapsulation,mechanism,medium,
networking_019,networking,routing,FIB trie routing table lookup,implementation,hard,
networking_020,networking,multipath routing,equal-cost multipath ECMP,mechanism,medium,
networking_021,networking,network observability,socket statistics ss tool,observability,easy,
networking_022,networking,TCP fast open,TFO cookie exchange,implementation,medium,
networking_023,networking,UDP optimization,UDP Generic Receive Offload GRO,optimization,medium,
networking_024,networking,network I/O,io_uring network send recv,interface,hard,post_2020
networking_025,networking,packet timestamping,hardware TX timestamping,observability,hard,
filesystem_001,filesystem,file system,VFS virtual file system layer,mechanism,easy,
filesystem_002,filesystem,VFS,dentry cache lookup,implementation,medium,
filesystem_003,filesystem,page cache,writeback dirty page flushing,mechanism,medium,
filesystem_004,filesystem,dirty writeback,flusher thread wakeup threshold,implementation,medium,
filesystem_005,filesystem,file I/O,direct I/O bypass page cache,mechanism,medium,
filesystem_006,filesystem,buffered I/O,readahead page prefetch,optimization,medium,
filesystem_007,filesystem,journaling,ext4 journal commit ordering,mechanism,medium,
filesystem_008,filesystem,ext4 journal,ext4 delayed allocation,optimization,hard,
filesystem_009,filesystem,copy-on-write filesystem,btrfs subvolume snapshot,subsystem_feature,medium,
filesystem_010,filesystem,btrfs,btrfs RAID5 write hole,implementation,hard,
filesystem_011,filesystem,filesystem mounting,bind mount namespace isolation,mechanism,medium,
filesystem_012,filesystem,overlay filesystem,overlayfs copy-up on write,implementation,medium,
filesystem_013,filesystem,filesystem quota,project quota enforcement,policy,medium,
filesystem_014,filesystem,file locking,POSIX byte-range lock,mechanism,easy,
filesystem_015,filesystem,POSIX lock,open file description lock,interface,hard,
filesystem_016,filesystem,NFS,NFS delegations client caching,mechanism,hard,
filesystem_017,filesystem,filesystem notifications,inotify event delivery,interface,easy,
filesystem_018,filesystem,fanotify,fanotify permission events,implementation,hard,
filesystem_019,filesystem,tmpfs,tmpfs anonymous page eviction,implementation,medium,
filesystem_020,filesystem,filesystem encryption,fscrypt per-file key derivation,security_boundary,hard,
filesystem_021,filesystem,filesystem verity,fs-verity Merkle tree verification,security_boundary,hard,
filesystem_022,filesystem,filesystem compression,btrfs transparent compression,subsystem_feature,medium,
filesystem_023,filesystem,filesystem repair,e2fsck journal recovery,implementation,medium,
filesystem_024,filesystem,file attributes,immutable chattr flag,interface,easy,
filesystem_025,filesystem,filesystem tracing,blktrace block layer tracing,observability,medium,
block_001,block,block layer,bio block I/O structure,mechanism,easy,
block_002,block,bio submission,blk-mq multi-queue dispatch,implementation,medium,
block_003,block,I/O scheduler,mq-deadline deadline scheduling,policy,medium,
block_004,block,I/O scheduler,none scheduler polling mode,policy,medium,
block_005,block,NVMe driver,NVMe command queue depth,implementation,medium,
block_006,block,I/O polling,io_uring fixed buffer registration,optimization,hard,post_2020
block_007,block,device mapper,dm-crypt transparent encryption,subsystem_feature,medium,
block_008,block,device mapper,dm-thin thin provisioning,subsystem_feature,hard,
block_009,block,RAID,md software RAID rebuild,mechanism,medium,
block_010,block,block statistics,blkstats per-queue iostat,observability,medium,
block_011,block,write barrier,cache flush FUA write,mechanism,medium,
block_012,block,zoned block device,ZNS zone append command,implementation,hard,post_2020
block_013,block,I/O pressure,IO PSI stall tracking,observability,medium,post_2020
block_014,block,discard trim,SCSI UNMAP command,interface,medium,
block_015,block,scatter gather,DMA scatter-gather list,implementation,medium,
block_016,block,block cgroup,blkio cgroup weight-based throttling,policy,medium,
block_017,block,I/O priority,ioprio_set ionice class,interface,easy,
block_018,block,persistent reservation,SCSI PGR persistent group reservation,mechanism,hard,
block_019,block,plug and unplug,request merging plug window,optimization,medium,
block_020,block,block device,loop device sparse file backing,implementation,medium,
block_021,block,copy offload,SCSI XCOPY T10 copy offload,optimization,hard,
block_022,block,error handling,blk_status_t error propagation,implementation,medium,
block_023,block,I/O accounting,bioset memory pool preallocate,implementation,hard,
block_024,block,storage multipath,dm-multipath path failover,mechanism,medium,
block_025,block,block integrity,DIF data integrity field protection,mechanism,hard,
locking_001,locking,synchronization,mutex lock,mechanism,easy,
locking_002,locking,mutex,PI mutex priority inheritance,mechanism,medium,
locking_003,locking,spinlock,qspinlock queued spinlock,implementation,medium,
locking_004,locking,spinlock,MCS spinlock per-CPU node,implementation,hard,
locking_005,locking,read-write lock,rwsem reader-writer semaphore,mechanism,easy,
locking_006,locking,rwsem,percpu-rwsem scalable reader lock,optimization,hard,
locking_007,locking,RCU,call_rcu deferred callback,mechanism,medium,
locking_008,locking,RCU,expedited synchronize_rcu,implementation,medium,
locking_009,locking,RCU,SRCU sleepable RCU,subsystem_feature,hard,
locking_010,locking,lock ordering,lockdep dependency graph,observability,medium,
locking_011,locking,lock validation,lockdep annotation acquire/release,interface,medium,
locking_012,locking,lock-free data structures,seqlock read retry,mechanism,medium,
locking_013,locking,atomic operations,compare-and-swap cmpxchg,mechanism,easy,
locking_014,locking,memory ordering,smp_mb memory barrier,mechanism,medium,
locking_015,locking,memory barrier,ACQUIRE/RELEASE semantics,implementation,hard,
locking_016,locking,futex,futex2 wait/wake,interface,medium,
locking_017,locking,futex,FUTEX_PI priority inheritance futex,implementation,hard,
locking_018,locking,mutex debugging,PROVE_LOCKING deadlock detection,observability,medium,
locking_019,locking,critical section,preempt_disable preemption suppression,mechanism,medium,
locking_020,locking,RCU grace period,RCU Tasks Rude for scheduler,implementation,hard,
locking_021,locking,lock contention,lock_stat contention tracking,observability,medium,
locking_022,locking,interrupt disable,local_irq_save flags save,mechanism,easy,
locking_023,locking,bit operations,test_and_set_bit atomic bit lock,mechanism,easy,
locking_024,locking,completion variable,wait_for_completion timeout,interface,easy,
locking_025,locking,workqueue,ordered workqueue serialization,mechanism,medium,
security_001,security,access control,Linux Security Module LSM,mechanism,easy,
security_002,security,LSM,SELinux type enforcement,policy,medium,
security_003,security,LSM,AppArmor profile confinement,policy,medium,
security_004,security,capability model,CAP_NET_ADMIN network privilege,mechanism,easy,
security_005,security,privilege separation,seccomp syscall filter,mechanism,medium,
security_006,security,seccomp,seccomp BPF filter program,implementation,hard,
security_007,security,namespace isolation,user namespace UID remapping,mechanism,medium,
security_008,security,user namespace,rootless container execution,application,medium,
security_009,security,kernel hardening,KASLR kernel address randomization,mechanism,medium,
security_010,security,KASLR,FG-KASLR fine-grained randomization,implementation,hard,
security_011,security,memory safety,SMEP supervisor mode execution prevention,mechanism,medium,
security_012,security,SMEP,SMAP supervisor mode access prevention,mechanism,medium,
security_013,security,stack protection,stack canary detection,mechanism,easy,
security_014,security,stack canary,shadow call stack protection,implementation,hard,post_2020
security_015,security,audit framework,auditd syscall audit logging,subsystem_feature,medium,
security_016,security,audit logging,audit filter rule matching,implementation,medium,
security_017,security,integrity measurement,IMA integrity measurement architecture,mechanism,hard,
security_018,security,IMA,IMA appraisal file hash verification,implementation,hard,
security_019,security,key management,kernel keyring service,mechanism,medium,
security_020,security,keyring,asymmetric key module verification,implementation,hard,
security_021,security,sandbox,landlock filesystem restriction,security_boundary,hard,post_2020
security_022,security,network security,secmark packet labeling,mechanism,hard,
security_023,security,cryptographic API,crypto_skcipher symmetric encryption,interface,medium,
security_024,security,crypto API,kernel AEAD authenticated encryption,implementation,hard,
security_025,security,exploit mitigation,retpoline spectre v2 mitigation,mechanism,hard,
tracing_001,tracing,kernel tracing,ftrace function tracer,mechanism,easy,
tracing_002,tracing,ftrace,function_graph call graph tracer,subsystem_feature,medium,
tracing_003,tracing,tracepoints,TRACE_EVENT macro definition,mechanism,medium,
tracing_004,tracing,tracepoints,tracepoint perf event attachment,implementation,medium,
tracing_005,tracing,performance counters,perf_event_open syscall,interface,medium,
tracing_006,tracing,hardware PMU,perf hardware breakpoint,implementation,hard,
tracing_007,tracing,BPF tracing,kprobe BPF program attachment,mechanism,medium,post_2020
tracing_008,tracing,kprobe BPF,bpf_probe_read_kernel helper,implementation,medium,
tracing_009,tracing,BPF observability,BPF ring buffer output,implementation,medium,post_2020
tracing_010,tracing,BPF maps,BPF per-CPU hash map,subsystem_feature,medium,
tracing_011,tracing,uprobes,uprobe user-space function tracing,mechanism,medium,
tracing_012,tracing,system call tracing,strace ptrace interception,implementation,easy,
tracing_013,tracing,kernel profiling,perf record sampling,observability,easy,
tracing_014,tracing,perf sampling,perf annotate hotspot disassembly,observability,medium,
tracing_015,tracing,lock tracing,lockstat contention stats,observability,medium,
tracing_016,tracing,latency tracing,wakeup latency tracer,observability,hard,
tracing_017,tracing,trace events,trace_printk kernel logging,implementation,easy,
tracing_018,tracing,dynamic instrumentation,live patch kpatch,mechanism,hard,
tracing_019,tracing,tracing buffer,ring buffer per-CPU lock-free,implementation,hard,
tracing_020,tracing,power tracing,powertop idle wakeup accounting,observability,medium,
tracing_021,tracing,memory tracing,kmemleak object tracking,observability,medium,
tracing_022,tracing,scheduler tracing,schedstat per-task statistics,observability,medium,
tracing_023,tracing,network tracing,sk_buff tracepoint path,observability,hard,
tracing_024,tracing,BPF type format,BTF kernel type information,implementation,hard,post_2020
tracing_025,tracing,BPF CO-RE,BTF-based field relocations,implementation,hard,post_2020
